catalog_size,strategy,k,n,recall_at_k,recall_ci,hit_rate,task_success,success_ci,token_mean,token_p95
100,hierarchical,1,120,0.8861,0.8243-0.9489,0.8333,0.8333,0.744-0.9273,103.9,106.0
100,hierarchical,3,120,0.9514,0.9292-0.9757,0.9,0.7417,0.5544-0.91,310.8,315.1
100,hierarchical,5,120,0.9806,0.9626-0.9952,0.9583,0.775,0.5985-0.9269,518.3,525.0
100,hierarchical,10,120,0.9847,0.9687-0.996,0.9667,0.7667,0.5815-0.9397,1036.2,1049.0
100,hybrid,1,120,0.8861,0.8132-0.9465,0.8333,0.8333,0.7389-0.9172,103.9,106.0
100,hybrid,3,120,0.9972,0.9913-1.0,0.9917,0.7,0.5075-0.8814,310.4,314.0
100,hybrid,5,120,1.0,1.0-1.0,1.0,0.7,0.4899-0.897,517.6,523.0
100,hybrid,10,120,1.0,1.0-1.0,1.0,0.6917,0.5259-0.8803,1035.5,1049.0
100,passthrough,1,120,1.0,1.0-1.0,1.0,0.6833,0.4654-0.8777,10349.0,10349.0
100,passthrough,3,120,1.0,1.0-1.0,1.0,0.6833,0.4893-0.8598,10349.0,10349.0
100,passthrough,5,120,1.0,1.0-1.0,1.0,0.6833,0.4962-0.8623,10349.0,10349.0
100,passthrough,10,120,1.0,1.0-1.0,1.0,0.6833,0.4941-0.8739,10349.0,10349.0
100,semantic_topk,1,120,0.8861,0.8202-0.9528,0.8333,0.8333,0.7395-0.9217,103.9,106.0
100,semantic_topk,3,120,0.9514,0.9291-0.9774,0.9,0.65,0.4574-0.8342,310.4,314.0
100,semantic_topk,5,120,0.9806,0.9637-0.9942,0.9583,0.675,0.5126-0.8596,517.6,523.0
100,semantic_topk,10,120,1.0,1.0-1.0,1.0,0.6917,0.4877-0.8907,1035.5,1049.0
200,hierarchical,1,120,0.7861,0.6112-0.9086,0.7417,0.7417,0.5668-0.8853,103.9,106.0
200,hierarchical,3,120,0.9222,0.8531-0.9696,0.8667,0.4,0.2311-0.5942,311.0,315.1
200,hierarchical,5,120,0.9264,0.8567-0.9772,0.875,0.3917,0.2265-0.6122,518.7,525.0
200,hierarchical,10,120,0.9764,0.9605-0.9914,0.95,0.3917,0.2451-0.588,1036.8,1048.0
200,hybrid,1,120,0.7778,0.5958-0.9051,0.7333,0.7333,0.5839-0.8718,103.9,106.0
200,hybrid,3,120,0.9556,0.9095-0.9929,0.9333,0.1417,0.0305-0.2924,310.9,315.0
200,hybrid,5,120,0.9722,0.9272-1.0,0.9667,0.1083,0.0-0.2442,517.9,525.0
200,hybrid,10,120,1.0,1.0-1.0,1.0,0.1083,0.0-0.2407,1035.6,1046.0
200,passthrough,1,120,1.0,1.0-1.0,1.0,0.1083,0.0-0.2576,20719.0,20719.0
200,passthrough,3,120,1.0,1.0-1.0,1.0,0.1083,0.0-0.2472,20719.0,20719.0
200,passthrough,5,120,1.0,1.0-1.0,1.0,0.1083,0.0-0.2565,20719.0,20719.0
200,passthrough,10,120,1.0,1.0-1.0,1.0,0.1083,0.0-0.2425,20719.0,20719.0
200,semantic_topk,1,120,0.7778,0.6149-0.8981,0.7333,0.7333,0.5761-0.8742,103.9,106.0
200,semantic_topk,3,120,0.9153,0.8604-0.973,0.8583,0.125,0.015-0.2641,310.8,315.0
200,semantic_topk,5,120,0.9222,0.8594-0.9703,0.8667,0.1083,0.0-0.2571,517.8,525.0
200,semantic_topk,10,120,0.9806,0.9651-0.9937,0.9583,0.1083,0.0-0.2363,1035.7,1045.0
300,hierarchical,1,120,0.7069,0.5417-0.8744,0.6667,0.6667,0.4927-0.8396,103.9,106.0
300,hierarchical,3,120,0.9056,0.8436-0.9593,0.85,0.4167,0.2432-0.6266,311.2,316.0
300,hierarchical,5,120,0.9222,0.8555-0.968,0.8667,0.3917,0.2308-0.6024,519.0,527.0
300,hierarchical,10,120,0.9681,0.9528-0.9856,0.9333,0.375,0.213-0.5336,1037.7,1050.0
300,hybrid,1,120,0.6986,0.5171-0.8796,0.6583,0.6583,0.4851-0.8254,103.9,106.0
300,hybrid,3,120,0.9264,0.8757-0.9724,0.8917,0.2083,0.0864-0.3564,310.8,316.1
300,hybrid,5,120,0.9722,0.9167-1.0,0.9667,0.1083,0.0-0.2808,517.9,527.0
300,hybrid,10,120,1.0,1.0-1.0,1.0,0.0417,0.0-0.1288,1036.1,1050.0
300,passthrough,1,120,1.0,1.0-1.0,1.0,0.0,0.0-0.0,31084.0,31084.0
300,passthrough,3,120,1.0,1.0-1.0,1.0,0.0,0.0-0.0,31084.0,31084.0
300,passthrough,5,120,1.0,1.0-1.0,1.0,0.0,0.0-0.0,31084.0,31084.0
300,passthrough,10,120,1.0,1.0-1.0,1.0,0.0,0.0-0.0,31084.0,31084.0
300,semantic_topk,1,120,0.6986,0.522-0.8729,0.6583,0.6583,0.4675-0.8372,103.9,106.0
300,semantic_topk,3,120,0.8986,0.8291-0.9572,0.8417,0.1667,0.0354-0.3409,310.8,316.0
300,semantic_topk,5,120,0.9153,0.8619-0.9703,0.8583,0.1083,0.0-0.2511,517.9,527.0
300,semantic_topk,10,120,0.9639,0.9427-0.9802,0.925,0.0417,0.0-0.1294,1036.5,1050.0
