catalog_size,strategy,k,n,recall_at_k,recall_ci,hit_rate,task_success,success_ci,token_mean,token_p95,latency_p50_ms,latency_p95_ms
100,hierarchical,1,180,0.7963,0.6303-0.9375,0.7722,0.7722,0.6244-0.9231,103.7,106.0,2.0447,2.5084
100,hierarchical,3,180,0.9954,0.9884-1.0,0.9889,0.8167,0.6497-0.9591,310.9,316.0,2.0441,2.4207
100,hierarchical,5,180,0.9981,0.9947-1.0,0.9944,0.8167,0.6467-0.962,518.4,526.0,2.0344,2.4024
100,hierarchical,10,180,0.9981,0.9946-1.0,0.9944,0.8167,0.6546-0.9634,1036.0,1051.0,2.0366,2.4217
100,hybrid,1,180,0.8991,0.8394-0.9535,0.8556,0.8556,0.7833-0.9185,103.8,106.0,6.5944,7.0038
100,hybrid,3,180,1.0,1.0-1.0,1.0,0.7278,0.5495-0.8994,310.4,315.0,6.5722,6.9849
100,hybrid,5,180,1.0,1.0-1.0,1.0,0.7278,0.5521-0.8976,517.3,525.0,6.5801,7.0969
100,hybrid,10,180,1.0,1.0-1.0,1.0,0.7278,0.5372-0.8916,1034.8,1049.0,6.5762,7.17
100,passthrough,1,180,1.0,1.0-1.0,1.0,0.7278,0.5568-0.9068,10349.0,10349.0,0.0043,0.0057
100,passthrough,3,180,1.0,1.0-1.0,1.0,0.7278,0.5453-0.8988,10349.0,10349.0,0.0038,0.0048
100,passthrough,5,180,1.0,1.0-1.0,1.0,0.7278,0.5507-0.8983,10349.0,10349.0,0.0038,0.0043
100,passthrough,10,180,1.0,1.0-1.0,1.0,0.7278,0.5352-0.8909,10349.0,10349.0,0.0038,0.0044
100,semantic_topk,1,180,0.7046,0.5116-0.8713,0.6833,0.6833,0.523-0.8345,103.7,106.0,6.4951,6.7303
100,semantic_topk,3,180,0.9944,0.986-1.0,0.9889,0.7278,0.5477-0.9061,310.4,315.0,6.5112,6.9482
100,semantic_topk,5,180,1.0,1.0-1.0,1.0,0.7278,0.5436-0.8917,517.3,525.0,6.5056,6.8287
100,semantic_topk,10,180,1.0,1.0-1.0,1.0,0.7278,0.54-0.8995,1034.8,1049.0,6.5149,6.8401
200,hierarchical,1,180,0.5852,0.3918-0.7669,0.5778,0.5778,0.3962-0.7675,103.8,106.0,3.328,5.6628
200,hierarchical,3,180,0.8898,0.7531-0.9777,0.8722,0.5722,0.3906-0.7742,311.2,316.0,3.314,5.3389
200,hierarchical,5,180,0.9926,0.9796-1.0,0.9833,0.5722,0.3771-0.7563,518.7,526.0,3.3174,5.1791
200,hierarchical,10,180,0.9981,0.9946-1.0,0.9944,0.5722,0.3918-0.7529,1037.0,1052.0,3.3128,4.5581
200,hybrid,1,180,0.5861,0.4157-0.7304,0.5667,0.5667,0.3934-0.7119,103.7,106.0,13.1574,18.2815
200,hybrid,3,180,0.9731,0.9411-0.9958,0.9611,0.2778,0.125-0.4337,310.7,316.0,13.1348,17.2546
200,hybrid,5,180,1.0,1.0-1.0,1.0,0.2611,0.1083-0.4376,517.4,524.0,13.1522,18.4999
200,hybrid,10,180,1.0,1.0-1.0,1.0,0.2611,0.1065-0.435,1034.4,1047.0,13.1747,16.1183
200,passthrough,1,180,1.0,1.0-1.0,1.0,0.2611,0.1075-0.4333,20719.0,20719.0,0.0067,0.01
200,passthrough,3,180,1.0,1.0-1.0,1.0,0.2611,0.0979-0.4309,20719.0,20719.0,0.0057,0.0085
200,passthrough,5,180,1.0,1.0-1.0,1.0,0.2611,0.1117-0.43,20719.0,20719.0,0.0057,0.0087
200,passthrough,10,180,1.0,1.0-1.0,1.0,0.2611,0.1089-0.4368,20719.0,20719.0,0.0057,0.0081
200,semantic_topk,1,180,0.2778,0.1131-0.4625,0.2722,0.2722,0.1144-0.4444,103.9,106.0,13.0193,15.7514
200,semantic_topk,3,180,0.8667,0.7251-0.9643,0.8556,0.2611,0.0933-0.4261,310.6,316.0,13.0481,16.8416
200,semantic_topk,5,180,0.9852,0.9706-0.9971,0.9722,0.2611,0.1087-0.4315,517.4,524.0,13.0623,16.2519
200,semantic_topk,10,180,1.0,1.0-1.0,1.0,0.2611,0.1144-0.4205,1034.3,1047.0,13.0526,17.0037
300,hierarchical,1,180,0.5157,0.3369-0.703,0.5111,0.5111,0.3293-0.7024,103.7,106.0,4.642,6.5943
300,hierarchical,3,180,0.6981,0.524-0.8657,0.6833,0.5,0.3196-0.6813,311.1,316.0,4.7282,7.3692
300,hierarchical,5,180,0.9537,0.9247-0.9795,0.9389,0.5,0.316-0.6771,518.7,527.0,4.8615,7.5298
300,hierarchical,10,180,0.9981,0.9945-1.0,0.9944,0.5,0.3101-0.6848,1037.5,1050.0,4.6358,6.4712
300,hybrid,1,180,0.45,0.2821-0.6167,0.4389,0.4389,0.2766-0.6056,103.7,106.0,19.6655,24.7121
300,hybrid,3,180,0.9157,0.8761-0.9569,0.9,0.1556,0.051-0.2643,310.8,316.0,19.6044,24.5283
300,hybrid,5,180,1.0,1.0-1.0,1.0,0.05,0.0-0.1373,517.7,526.0,19.647,27.339
300,hybrid,10,180,1.0,1.0-1.0,1.0,0.05,0.0-0.1341,1034.9,1048.0,19.5972,25.9643
300,passthrough,1,180,1.0,1.0-1.0,1.0,0.05,0.0-0.1288,31084.0,31084.0,0.0085,0.0129
300,passthrough,3,180,1.0,1.0-1.0,1.0,0.05,0.0-0.1341,31084.0,31084.0,0.0076,0.0115
300,passthrough,5,180,1.0,1.0-1.0,1.0,0.05,0.0-0.1364,31084.0,31084.0,0.0075,0.011
300,passthrough,10,180,1.0,1.0-1.0,1.0,0.05,0.0-0.1326,31084.0,31084.0,0.0073,0.0111
300,semantic_topk,1,180,0.1278,0.0165-0.2677,0.1278,0.1278,0.0169-0.2772,103.7,106.0,19.4514,25.5344
300,semantic_topk,3,180,0.6194,0.4433-0.7976,0.6111,0.05,0.0-0.1349,310.8,316.0,19.4573,24.9962
300,semantic_topk,5,180,0.925,0.8876-0.9651,0.9167,0.05,0.0-0.1364,517.7,526.0,19.4727,25.7332
300,semantic_topk,10,180,0.9972,0.9911-1.0,0.9944,0.05,0.0-0.1349,1035.0,1048.0,19.4938,24.5275
